發生時間,車種,Y,X
2012-10-01 00:25:00,計程車-小客車;普通重型-機車,25.11529,121.5229
2012-10-01 01:48:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.05805,121.5957
2012-10-01 02:25:00,普通重型-機車;計程車-小客車,25.05289,121.5969
2012-10-01 02:40:00,自用-小客車;計程車-小客車;普通重型-機車;普通重型-機車;計程車-小客車,25.02672,121.5467
2012-10-01 03:00:00,普通重型-機車;普通重型-機車,25.12121,121.5115
2012-10-01 03:38:00,自用-小客車;普通重型-機車,25.04750,121.5081
2012-10-01 05:45:00,行人-人;普通重型-機車,25.03787,121.4944
2012-10-01 06:41:00,計程車-小客車;行人-人,25.08644,121.5199
2012-10-01 07:12:00,其他車-其他車;腳踏自行車-慢車,25.05919,121.6077
2012-10-01 07:25:00,計程車-小客車;普通輕型-機車;普通輕型-機車,25.05620,121.5523
2012-10-01 07:50:00,自用-小客車;普通重型-機車;普通重型-機車,25.05181,121.5115
2012-10-01 08:15:00,普通重型-機車;普通重型-機車,25.06415,121.5653
2012-10-01 08:20:00,普通重型-機車;普通重型-機車,25.02185,121.5351
2012-10-01 08:20:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06285,121.5126
2012-10-01 08:27:00,普通重型-機車;普通重型-機車,25.11353,121.5362
2012-10-01 08:29:00,腳踏自行車-慢車;普通重型-機車;普通重型-機車,25.02590,121.5015
2012-10-01 08:30:00,普通重型-機車,25.04490,121.5551
2012-10-01 08:43:00,普通重型-機車;自用-小客車,25.02494,121.5636
2012-10-01 08:49:00,自用-小客車;普通輕型-機車,25.07489,121.6054
2012-10-01 09:25:00,普通重型-機車;普通輕型-機車,25.06202,121.6005
2012-10-01 09:35:00,普通重型-機車;自用-小客車,25.07330,121.6059
2012-10-01 09:40:00,計程車-小客車;行人-人,25.03727,121.5494
2012-10-01 09:50:00,租賃車-小客車;普通重型-機車,25.08726,121.5691
2012-10-01 09:50:00,普通重型-機車;自用-小客車,25.03943,121.5750
2012-10-01 10:30:00,普通重型-機車;自用-小貨車,25.02352,121.5539
2012-10-01 11:15:00,普通重型-機車;普通重型-機車,25.07093,121.5200
2012-10-01 11:20:00,自用-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-01 11:53:00,普通輕型-機車;自用-小客車,25.04931,121.5921
2012-10-01 12:20:00,計程車-小客車;普通重型-機車,25.12688,121.4679
2012-10-01 12:45:00,普通重型-機車;自用-小客車,25.02062,121.5339
2012-10-01 13:50:00,自用-小客車;普通重型-機車,25.08445,121.5613
2012-10-01 14:50:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;腳踏自行車-慢車;腳踏自行車-慢車,25.11074,121.5299
2012-10-01 15:09:00,自用-小客車;計程車-小客車,25.06379,121.5801
2012-10-01 16:34:00,普通重型-機車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-01 17:15:00,普通重型-機車;普通重型-機車,25.08221,121.5154
2012-10-01 17:40:00,普通重型-機車;腳踏自行車-慢車,25.05353,121.5116
2012-10-01 17:45:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.03653,121.5049
2012-10-01 17:50:00,民營客運-大客車;普通重型-機車,25.08095,121.5843
2012-10-01 17:55:00,普通重型-機車;普通重型-機車,25.11531,121.5208
2012-10-01 18:00:00,腳踏自行車-慢車;腳踏自行車-慢車,25.01842,121.5342
2012-10-01 18:00:00,其他車-其他車;普通重型-機車,25.05050,121.5591
2012-10-01 18:25:00,自用-小客車;普通重型-機車,25.05497,121.6029
2012-10-01 18:35:00,其他車-其他車;普通重型-機車;普通重型-機車,25.01648,121.5425
2012-10-01 18:50:00,普通重型-機車;普通重型-機車,25.05414,121.6185
2012-10-01 20:00:00,自用-小客車;普通重型-機車,25.04629,121.5671
2012-10-01 20:03:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-01 20:40:00,自用-小客車;自用-小客車;自用-小客車;自用-小客車,25.05649,121.5290
2012-10-01 20:45:00,租賃車-小客車;計程車-小客車;計程車-小客車;自用-小客車;計程車-小客車,25.09563,121.4991
2012-10-01 21:08:00,普通重型-機車;腳踏自行車-慢車;自用-小客車,25.13553,121.4751
2012-10-01 21:34:00,普通重型-機車;自用-小客車,25.07988,121.5805
2012-10-01 21:45:00,普通重型-機車;普通重型-機車,25.04738,121.5620
2012-10-01 22:30:00,普通重型-機車;行人-人,25.13589,121.5000
2012-10-01 22:50:00,普通重型-機車;自用-小客車,25.04803,121.5715
2012-10-01 09:34:00,腳踏自行車-慢車,25.10840,121.4985
2012-10-02 01:00:00,民營客運-大客車;普通重型-機車,25.21030,121.6659
2012-10-02 00:20:00,自用-小客車;普通重型-機車,25.05050,121.5487
2012-10-02 00:21:00,普通重型-機車,25.05685,121.5572
2012-10-02 00:45:00,自用-小客車;普通重型-機車,25.06255,121.5288
2012-10-02 06:50:00,普通重型-機車;普通重型-機車,25.06189,121.6138
2012-10-02 07:30:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-02 07:30:00,自用-小貨車;腳踏自行車-慢車,25.11969,121.5706
2012-10-02 07:55:00,普通重型-機車;自用-小客車,25.08510,121.5522
2012-10-02 08:01:00,普通重型-機車;普通重型-機車;普通重型-機車,25.05368,121.4872
2012-10-02 08:20:00,普通重型-機車;普通重型-機車,25.11409,121.5099
2012-10-02 08:45:00,普通重型-機車;普通重型-機車,25.13361,121.5083
2012-10-02 09:00:00,自用-小客車;普通輕型-機車,25.06314,121.5248
2012-10-02 09:05:00,自用-小客車;行人-人,25.12174,121.5350
2012-10-02 09:10:00,自用-小客車;普通重型-機車,25.08050,121.5674
2012-10-02 09:17:00,遊覽車-大客車;行人-人,25.21030,121.6659
2012-10-02 09:20:00,普通重型-機車;普通輕型-機車,25.03361,121.5310
2012-10-02 09:39:00,計程車-小客車;電動自行車-慢車;計程車-小客車,25.06241,121.5480
2012-10-02 09:41:00,腳踏自行車-慢車;普通重型-機車,25.02654,121.5574
2012-10-02 09:45:00,普通輕型-機車;普通重型-機車,25.03002,121.5583
2012-10-02 10:54:00,普通重型-機車;自用-小貨車,25.03307,121.5542
2012-10-02 11:06:00,普通輕型-機車;自用-小客車,25.04274,121.5543
2012-10-02 11:41:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-10-02 12:00:00,自用-小客車;腳踏自行車-慢車,25.05721,121.5173
2012-10-02 12:06:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-02 12:09:00,普通重型-機車;自用-小客車,25.05905,121.5553
2012-10-02 12:10:00,普通重型-機車;營業用-小貨車,25.02747,121.5436
2012-10-02 12:40:00,計程車-小客車;自用-小客車;計程車-小客車,25.05629,121.5343
2012-10-02 12:50:00,計程車-小客車;普通重型-機車;普通重型-機車,25.03373,121.5298
2012-10-02 13:18:00,普通重型-機車;自用-小貨車,25.06598,121.5173
2012-10-02 13:30:00,計程車-小客車;自用-小客車;自用-小貨車,25.07129,121.5818
2012-10-02 14:50:00,租賃車-小客車;普通重型-機車,25.10580,121.5118
2012-10-02 15:10:00,普通重型-機車;行人-人,25.11513,121.6286
2012-10-02 15:32:00,自用-小客車;普通輕型-機車,25.12121,121.5115
2012-10-02 15:35:00,計程車-小客車;普通重型-機車;自用-小客車,25.04234,121.5229
2012-10-02 15:40:00,自用-小客車;普通重型-機車;普通重型-機車,25.10863,121.5397
2012-10-02 15:57:00,普通重型-機車;自用-小貨車,25.06748,121.5829
2012-10-02 16:19:00,計程車-小客車;普通重型-機車;普通重型-機車,25.05705,121.5182
2012-10-02 16:30:00,其他車-其他車;其他車-其他車;普通重型-機車;其他車-其他車,25.09449,121.5504
2012-10-02 17:05:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-10-02 17:05:00,民營客運-大客車;普通輕型-機車,25.06132,121.5690
2012-10-02 17:20:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-02 17:25:00,計程車-小客車;行人-人,25.21030,121.6659
2012-10-02 17:45:00,普通重型-機車;普通重型-機車,25.13248,121.4999
2012-10-02 17:50:00,普通重型-機車;自用-小客車,25.21030,121.6659
2012-10-02 17:50:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-02 18:10:00,計程車-小客車;普通重型-機車,25.03489,121.5495
2012-10-02 18:20:00,普通重型-機車;普通重型-機車,25.12266,121.4999
2012-10-02 18:45:00,普通重型-機車,25.04879,121.5904
2012-10-02 18:52:00,普通重型-機車;普通重型-機車,25.05572,121.5506
2012-10-02 18:55:00,普通重型-機車;自用-小客車,25.21030,121.6659
2012-10-02 19:05:00,普通重型-機車;普通重型-機車,25.03310,121.5542
2012-10-02 19:17:00,普通重型-機車;普通重型-機車,25.04919,121.5858
2012-10-02 19:58:00,普通重型-機車;普通輕型-機車,25.05920,121.5507
2012-10-02 21:10:00,普通重型-機車;普通重型-機車,25.03514,121.5388
2012-10-02 21:18:00,自用-小客車;普通重型-機車,25.10365,121.5442
2012-10-02 21:21:00,普通重型-機車;自用-小客車,25.02914,121.5696
2012-10-02 21:43:00,自用-小客車;普通輕型-機車,25.04371,121.5597
2012-10-02 22:34:00,計程車-小客車;普通重型-機車,25.04956,121.5733
2012-10-02 22:51:00,自用-小客車;普通重型-機車,25.08707,121.5123
2012-10-02 23:44:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-03 06:00:00,自用-小貨車;普通重型-機車,25.01417,121.5622
2012-10-03 06:10:00,普通重型-機車;自用-小客車,25.05586,121.5336
2012-10-03 06:13:00,普通重型-機車;計程車-小客車,25.02616,121.4983
2012-10-03 06:30:00,普通重型-機車;普通重型-機車,25.07265,121.6088
2012-10-03 07:35:00,租賃車-小客車;普通重型-機車,25.09503,121.5293
2012-10-03 07:45:00,自用-小貨車;普通重型-機車,25.05774,121.5862
2012-10-03 07:46:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-10-03 07:49:00,自用-小客車;普通重型-機車,25.10792,121.5279
2012-10-03 08:15:00,普通輕型-機車;行人-人,25.04972,121.5336
2012-10-03 08:19:00,計程車-小客車;普通重型-機車,25.02672,121.5467
2012-10-03 08:32:00,腳踏自行車-慢車;計程車-小客車;自用-小貨車,25.07281,121.5201
2012-10-03 08:35:00,普通重型-機車;普通重型-機車;普通重型-機車,25.12121,121.5115
2012-10-03 09:10:00,普通重型-機車;普通重型-機車,25.14104,121.4748
2012-10-03 09:24:00,普通重型-機車;普通重型-機車,25.06680,121.5826
2012-10-03 09:25:00,計程車-小客車;普通重型-機車,25.05697,121.6086
2012-10-03 09:30:00,營業用-小貨車;行人-人,25.06413,121.5227
2012-10-03 09:30:00,自用-小客車;行人-人,25.02621,121.5205
2012-10-03 09:35:00,自用-小客車;行人-人,25.03787,121.5749
2012-10-03 11:05:00,自用-小客車;普通重型-機車,25.05294,121.5577
2012-10-03 11:20:00,普通重型-機車;租賃車-小客車,25.06569,121.5672
2012-10-03 12:05:00,普通重型-機車,25.12448,121.4759
2012-10-03 12:19:00,營業用-大貨車;普通重型-機車,25.07130,121.6143
2012-10-03 12:40:00,自用-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-03 13:05:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.12258,121.4971
2012-10-03 13:42:00,普通重型-機車;普通輕型-機車,25.02160,121.5556
2012-10-03 14:05:00,自用-小客車;普通輕型-機車,25.06390,121.5243
2012-10-03 14:10:00,普通重型-機車;普通輕型-機車,25.04656,121.5485
2012-10-03 14:15:00,普通重型-機車;普通輕型-機車,25.03339,121.5153
2012-10-03 14:16:00,自用-小客車;普通重型-機車,25.13097,121.5046
2012-10-03 14:42:00,計程車-小客車;普通重型-機車,25.11371,121.5386
2012-10-03 15:05:00,自用-小客車;自用-小客車,25.09893,121.5398
2012-10-03 15:27:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2012-10-03 15:35:00,普通重型-機車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-03 16:10:00,普通重型-機車;普通重型-機車,25.12474,121.4683
2012-10-03 16:30:00,計程車-小客車;普通重型-機車,25.03600,121.5232
2012-10-03 16:30:00,普通重型-機車;自用-小客車,25.07129,121.5818
2012-10-03 17:00:00,自用-小客車;普通重型-機車;普通重型-機車,25.10372,121.5272
2012-10-03 17:08:00,普通重型-機車;普通重型-機車;普通重型-機車,25.11550,121.5124
2012-10-03 17:15:00,普通重型-機車;自用-小貨車,25.10769,121.4926
2012-10-03 17:30:00,自用-小客車;行人-人,25.02445,121.5546
2012-10-03 17:40:00,普通重型-機車;普通重型-機車,25.14395,121.4984
2012-10-03 18:10:00,計程車-小客車;普通重型-機車;普通輕型-機車,25.21030,121.6659
2012-10-03 18:30:00,自用-小客車;普通重型-機車,25.03339,121.5153
2012-10-03 18:35:00,計程車-小客車;普通重型-機車,25.04364,121.6180
2012-10-03 19:14:00,計程車-小客車;普通重型-機車,25.08225,121.5946
2012-10-03 19:50:00,自用-小客車;腳踏自行車-慢車,25.02474,121.5605
2012-10-03 20:10:00,自用-小客車;普通重型-機車,25.03355,121.5356
2012-10-03 20:21:00,計程車-小客車;普通輕型-機車,25.05961,121.5282
2012-10-03 21:20:00,自用-小客車;普通重型-機車,25.12994,121.5880
2012-10-03 21:30:00,腳踏自行車-慢車;普通重型-機車,25.21030,121.6659
2012-10-03 21:53:00,計程車-小客車;腳踏自行車-慢車,25.04251,121.6212
2012-10-03 22:43:00,自用-小客車;普通重型-機車,25.13085,121.5082
2012-10-03 14:50:00,租賃車-小客車;普通輕型-機車,25.06230,121.5383
2012-10-04 01:45:00,自用-小客車;自用-小客車;自用-小客車,25.06638,121.5736
2012-10-04 03:17:00,普通重型-機車;普通重型-機車,25.14496,121.5503
2012-10-04 03:20:00,計程車-小客車;普通重型-機車,25.10651,121.5250
2012-10-04 03:30:00,普通重型-機車;普通重型-機車,25.11518,121.5517
2012-10-04 06:45:00,其他車-其他車;普通重型-機車,25.09657,121.5321
2012-10-04 06:53:00,普通重型-機車;自用-小客車,25.08703,121.5585
2012-10-04 07:08:00,普通重型-機車;腳踏自行車-慢車,25.11515,121.5207
2012-10-04 07:17:00,普通重型-機車;普通重型-機車,25.04418,121.5651
2012-10-04 07:35:00,普通重型-機車;腳踏自行車-慢車,25.06480,121.5089
2012-10-04 08:10:00,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,25.07944,121.5301
2012-10-04 08:16:00,普通重型-機車;自用-小客車,25.05393,121.6145
2012-10-04 09:35:00,普通重型-機車;行人-人,25.06382,121.5661
2012-10-04 09:46:00,普通重型-機車;普通重型-機車,25.13722,121.4990
2012-10-04 09:57:00,普通重型-機車;普通重型-機車,25.09657,121.5321
2012-10-04 10:25:00,自用-小客車;普通重型-機車,25.09533,121.4992
2012-10-04 10:30:00,自用-小貨車;行人-人,25.04673,121.5842
2012-10-04 10:30:00,普通重型-機車;普通重型-機車,25.04056,121.4984
2012-10-04 10:40:00,普通重型-機車;計程車-小客車,25.21030,121.6659
2012-10-04 11:10:00,普通重型-機車;普通重型-機車,25.04509,121.5055
2012-10-04 11:25:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2012-10-04 12:09:00,計程車-小客車;普通輕型-機車;普通輕型-機車,25.03550,121.5675
2012-10-04 12:39:00,計程車-小客車;普通重型-機車,25.04882,121.5577
2012-10-04 12:45:00,普通重型-機車;普通重型-機車;自用-小貨車,25.21030,121.6659
2012-10-04 13:15:00,普通重型-機車;計程車-小客車,25.09241,121.5724
2012-10-04 14:00:00,普通重型-機車;普通重型-機車,25.10709,121.5181
2012-10-04 14:50:00,其他車-其他車;普通重型-機車;普通重型-機車,25.06299,121.5202
2012-10-04 15:35:00,普通重型-機車;普通重型-機車,25.05156,121.5461
2012-10-04 16:05:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-04 16:20:00,自用-小客車;普通重型-機車,25.14225,121.5130
2012-10-04 16:31:00,普通重型-機車;普通重型-機車,25.11229,121.5587
2012-10-04 16:35:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-04 16:50:00,普通重型-機車;普通重型-機車,25.07752,121.5900
2012-10-04 16:50:00,計程車-小客車;普通重型-機車;普通重型-機車,25.09439,121.5283
2012-10-04 17:00:00,自用-小貨車;普通重型-機車,25.12448,121.4759
2012-10-04 18:00:00,普通輕型-機車;普通重型-機車,25.21030,121.6659
2012-10-04 18:00:00,自用-小客車;普通重型-機車;普通重型-機車,25.10664,121.5239
2012-10-04 18:05:00,自用-小客車;普通重型-機車;普通重型-機車,25.05813,121.6087
2012-10-04 18:06:00,自用-小客車;普通重型-機車,25.03683,121.5525
2012-10-04 18:21:00,其他車-其他車;普通重型-機車,25.21030,121.6659
2012-10-04 18:30:00,普通重型-機車;營業用-大貨車,25.02771,121.5349
2012-10-04 18:31:00,普通重型-機車;普通重型-機車,25.09767,121.5436
2012-10-04 19:25:00,普通重型-機車;普通重型-機車,25.05078,121.5279
2012-10-04 19:30:00,普通重型-機車;普通重型-機車,25.05893,121.5878
2012-10-04 20:20:00,自用-小客車;普通重型-機車,25.06853,121.6171
2012-10-04 20:35:00,普通重型-機車,25.15234,121.5487
2012-10-04 21:20:00,自用-小客車;普通輕型-機車,25.04564,121.5544
2012-10-04 21:30:00,租賃車-小客車;自用-小客車;自用-小客車,25.13742,121.5110
2012-10-04 21:45:00,腳踏自行車-慢車;腳踏自行車-慢車,25.02411,121.5121
2012-10-04 22:05:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-10-04 22:40:00,普通重型-機車;普通重型-機車;普通重型-機車,25.10372,121.5272
2012-10-04 22:45:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-04 23:10:00,普通重型-機車;普通重型-機車,25.08056,121.5845
2012-10-04 23:50:00,普通重型-機車;自用-小客車,25.02168,121.5559
2012-10-05 00:50:00,自用-小客車;普通重型-機車,25.04663,121.5480
2012-10-05 01:32:00,普通重型-機車;普通重型-機車;計程車-小客車,25.00153,121.5542
2012-10-05 02:30:00,普通重型-機車;普通重型-機車,25.07987,121.5818
2012-10-05 02:36:00,普通重型-機車;自用-小客車;自用-小客車,25.14576,121.4986
2012-10-05 02:37:00,普通重型-機車;自用-小客車;自用-小客車,25.14576,121.4986
2012-10-05 03:55:00,普通重型-機車;普通重型-機車,25.02210,121.5496
2012-10-05 06:06:00,計程車-小客車;大型重型2-機車,25.11167,121.5258
2012-10-05 06:45:00,遊覽車-大客車;行人-人,25.06896,121.5908
2012-10-05 06:50:00,自用-小客車;普通重型-機車,25.04770,121.5076
2012-10-05 06:55:00,普通重型-機車;普通重型-機車,25.02751,121.4958
2012-10-05 07:05:00,普通輕型-機車;行人-人,25.04621,121.5495
2012-10-05 07:10:00,自用-小客車;普通輕型-機車,25.09114,121.5239
2012-10-05 07:20:00,自用-小客車;普通重型-機車,25.10372,121.5272
2012-10-05 07:30:00,計程車-小客車;普通重型-機車,25.02887,121.5265
2012-10-05 07:33:00,計程車-小客車;普通重型-機車;自用-小客車,25.05785,121.5131
2012-10-05 07:40:00,自用-小客車;普通重型-機車,25.03468,121.5446
2012-10-05 07:45:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-10-05 07:50:00,普通重型-機車;普通重型-機車,25.06775,121.5434
2012-10-05 08:20:00,自用-小貨車;普通重型-機車,25.06400,121.6114
2012-10-05 08:45:00,自用-小客車;行人-人;行人-人,25.11871,121.5071
2012-10-05 09:05:00,計程車-小客車;普通重型-機車,25.06413,121.5227
2012-10-05 09:20:00,自用-小貨車;行人-人,25.03024,121.5305
2012-10-05 09:30:00,普通重型-機車;普通重型-機車,25.13497,121.4702
2012-10-05 09:30:00,自用-小客車;腳踏自行車-慢車,25.13742,121.5340
2012-10-05 09:33:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-05 09:40:00,計程車-小客車;普通重型-機車,25.21030,121.6659
2012-10-05 10:00:00,自用-小客車;普通重型-機車;自用-小客車,25.04056,121.4984
2012-10-05 10:30:00,普通重型-機車;腳踏自行車-慢車,25.21030,121.6659
2012-10-05 10:30:00,自用-小客車;普通重型-機車,25.09154,121.5157
2012-10-05 10:42:00,租賃車-小客車;普通重型-機車,25.04371,121.5341
2012-10-05 10:54:00,自用-小客車;普通輕型-機車,25.08819,121.5209
2012-10-05 11:00:00,租賃車-小客車;普通重型-機車,25.09073,121.5266
2012-10-05 11:13:00,普通重型-機車;普通重型-機車,25.07596,121.5801
2012-10-05 11:16:00,自用-小客車;腳踏自行車-慢車,25.02634,121.5388
2012-10-05 11:20:00,自用-小客車;計程車-小客車;普通輕型-機車,25.04263,121.5487
2012-10-05 11:40:00,自用-小客車;普通輕型-機車,25.21030,121.6659
2012-10-05 12:40:00,租賃車-小客車;普通重型-機車,25.09883,121.5211
2012-10-05 12:56:00,自用-小客車;普通重型-機車;普通重型-機車,25.06230,121.5383
2012-10-05 13:45:00,計程車-小客車;行人-人,25.21030,121.6659
2012-10-05 14:00:00,普通重型-機車;自用-小客車;普通重型-機車,25.03329,121.5455
2012-10-05 14:12:00,普通重型-機車;自用-小客車,25.04624,121.5377
2012-10-05 14:39:00,自用-小客車;普通重型-機車,25.06227,121.5314
2012-10-05 14:53:00,租賃車-小客車;普通輕型-機車,25.03514,121.5388
2012-10-05 14:55:00,自用-小客車;普通輕型-機車,25.05838,121.6154
2012-10-05 15:00:00,計程車-小客車;普通重型-機車,25.04349,121.5038
2012-10-05 15:20:00,自用-小客車;行人-人,25.12279,121.5041
2012-10-05 15:40:00,普通重型-機車,25.09892,121.5302
2012-10-05 15:50:00,自用-小貨車;普通重型-機車,25.11172,121.5261
2012-10-05 16:35:00,普通重型-機車;行人-人,25.02922,121.5028
2012-10-05 16:40:00,自用-小客車;普通重型-機車,25.10801,121.5203
2012-10-05 16:40:00,租賃車-小客車;普通重型-機車,25.06724,121.5181
2012-10-05 16:48:00,自用-小客車;普通重型-機車,25.10706,121.5301
2012-10-05 17:55:00,自用-小客車;普通重型-機車,25.05023,121.5294
2012-10-05 18:20:00,計程車-小客車;行人-人,25.07502,121.5338
2012-10-05 19:04:00,自用-小客車;普通重型-機車,25.05189,121.5297
2012-10-05 19:10:00,自用-小客車;普通重型-機車,25.03233,121.5207
2012-10-05 19:15:00,普通重型-機車;自用-小客車,25.03597,121.5325
2012-10-05 19:30:00,自用-小客車;普通重型-機車,25.21030,121.6659
2012-10-05 19:30:00,自用-小客車;普通重型-機車,25.05160,121.5868
2012-10-05 19:30:00,自用-小客車;普通重型-機車,25.04425,121.5814
2012-10-05 19:40:00,自用-小客車;普通重型-機車,25.00171,121.5409
2012-10-05 19:45:00,自用-小客車;普通重型-機車,25.02905,121.5592
2012-10-05 19:48:00,自用-小客車;普通重型-機車;普通重型-機車,25.05432,121.4542
2012-10-05 20:04:00,普通重型-機車;其他人-人,25.05362,121.5279
2012-10-05 20:32:00,租賃車-小客車;行人-人,25.03887,121.5741
2012-10-05 20:40:00,自用-小客車;普通重型-機車;普通重型-機車,25.11805,121.5228
2012-10-05 21:24:00,自用-小客車;普通重型-機車,25.05740,121.5322
2012-10-05 21:30:00,計程車-小客車;普通重型-機車,25.03474,121.5449
2012-10-05 21:42:00,普通重型-機車;計程車-小客車,25.19537,121.6078
2012-10-05 22:10:00,自用-小客車;普通輕型-機車,25.04281,121.5403
2012-10-05 22:30:00,計程車-小客車;普通重型-機車,25.04867,121.5678
2012-10-05 22:33:00,普通重型-機車;計程車-小客車,25.11135,121.5345
2012-10-05 22:50:00,普通重型-機車;行人-人,25.04186,121.5004
2012-10-05 23:05:00,計程車-小客車;普通輕型-機車,25.09252,121.5108
2012-10-05 23:30:00,普通重型-機車;自用-小客車,25.21030,121.6659
2012-10-05 23:45:00,普通重型-機車;普通重型-機車;普通重型-機車,25.06385,121.5202
2012-10-06 00:35:00,普通重型-機車;普通重型-機車,25.13361,121.5083
2012-10-06 01:00:00,計程車-小客車;普通重型-機車,25.02191,121.5576
2012-10-06 01:30:00,普通重型-機車;普通重型-機車,25.04304,121.5534
2012-10-06 04:00:00,普通重型-機車;其他人-人,25.04454,121.5794
2012-10-06 06:11:00,普通重型-機車;普通重型-機車;普通重型-機車,25.12121,121.5115
2012-10-06 07:23:00,民營公車-大客車;行人-人,25.05407,121.5607
2012-10-06 08:25:00,其他車-其他車;普通重型-機車,25.01510,121.5544
2012-10-06 08:40:00,自用-小貨車;自用-小貨車,25.10299,121.5035
2012-10-06 09:00:00,自用-小客車;普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-06 09:15:00,普通重型-機車;自用-小客車,25.00132,121.5770
2012-10-06 09:19:00,普通重型-機車;普通重型-機車,25.06299,121.5202
2012-10-06 09:30:00,民營公車-大客車;自用-小客車;普通重型-機車,25.04463,121.5513
2012-10-06 09:30:00,計程車-小客車;普通輕型-機車,25.04186,121.5697
2012-10-06 09:50:00,行人-人;普通重型-機車,25.02914,121.4969
2012-10-06 10:17:00,普通重型-機車;自用-小貨車,25.05023,121.5294
2012-10-06 10:25:00,普通重型-機車;普通重型-機車,25.21030,121.6659
2012-10-06 10:30:00,普通重型-機車;腳踏自行車-慢車;普通重型-機車,25.04221,121.5076
2012-10-06 10:35:00,自用-小客車;普通重型-機車,25.06059,121.6115
2012-10-06 11:00:00,自用-小客車;普通重型-機車,25.04462,121.5785
2012-10-06 11:26:00,自用-小客車;普通重型-機車;普通重型-機車,25.12266,121.4999
2012-10-06 11:30:00,自用-小客車;普通重型-機車,25.12418,121.5013
2012-10-06 11:59:00,自用-小客車;普通重型-機車,25.12526,121.5264
2012-10-06 12:30:00,普通重型-機車;腳踏自行車-慢車,25.12043,121.5188
2012-10-06 12:32:00,普通輕型-機車;普通重型-機車,25.05948,121.5206
2012-10-06 13:00:00,普通重型-機車;普通重型-機車,25.05701,121.5349
2012-10-06 13:09:00,計程車-小客車;行人-人,25.09374,121.5057
2012-10-06 13:20:00,普通重型-機車;自用-小客車,25.08669,121.5751
2012-10-06 15:40:00,自用-小客車;普通重型-機車,25.02727,121.5318
2012-10-06 16:00:00,普通重型-機車;自用-小客車,25.11479,121.5244
2012-10-06 16:00:00,普通重型-機車;普通重型-機車;普通重型-機車,25.08252,121.5244
